PassengerId,Survived,Passenger Class,Sex,Siblings,Parent/Child,Fare,Age,Hometown,Boarded,Destination
1,0.0,3,male,1,0,7.25,22.0,"Bridgerule, Devon, England",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada"
5,0.0,3,male,0,0,8.05,35.0,"Birmingham, West Midlands, England",Southampton,New York City
6,0.0,3,male,0,0,8.4583,22.0,"Cork, Ireland",Queenstown,New York City
7,0.0,1,male,0,0,51.8625,54.0,"Dorchester, Massachusetts, US",Southampton,"Dorchester, Massachusetts, US"
8,0.0,3,male,3,1,21.075,2.0,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
13,0.0,3,male,0,0,8.05,19.0,"St Austell, Cornwall, England",Southampton,New York City
14,0.0,3,male,1,5,31.275,39.0,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada"
15,0.0,3,female,0,0,7.8542,14.0,"Salmunds, Gotland, Sweden",Southampton,"Los Angeles, US"
17,0.0,3,male,4,1,29.125,2.0,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US"
19,0.0,3,female,1,0,18.0,31.0,"Pittem, Belgium",Southampton,"Fremont, Ohio, US"
21,0.0,2,male,0,0,26.0,35.0,"Liverpool, Merseyside, England, UK",Southampton,"Montreal, Quebec, Canada"
25,0.0,3,female,3,1,21.075,8.0,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
27,0.0,3,male,0,0,7.225,25.0,"Hadath, Lebanon",Cherbourg,New York City
28,0.0,1,male,3,2,263.0,19.0,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada"
30,0.0,3,male,0,0,7.8958,23.0,"Unknown, Bulgaria",Southampton,"Chicago, Illinois, US"
31,0.0,1,male,0,0,27.7208,40.0,"Mexico City, Mexico",Cherbourg,"Mexico City, Mexico"
34,0.0,2,male,0,0,10.5,66.0,"Guernsey, Channel Islands",Southampton,"Edgewood, Rhode Island, US"
35,0.0,1,male,1,0,82.1708,28.0,"New York, New York, US",Cherbourg,"New York, New York, US"
36,0.0,1,male,1,0,52.0,42.0,"New York, New York, US",Southampton,"New York, New York, US"
38,0.0,3,male,0,0,8.05,21.0,"Penwithick, Cornwall, England",Southampton,New York City
39,0.0,3,female,2,0,18.0,18.0,"Zwevezele, Belgium",Southampton,"Fremont, Ohio, US"
41,0.0,3,female,1,0,9.475,40.0,"Göteborg, Västergötland, Sweden",Southampton,"Akeley, Minnesota, US"
42,0.0,2,female,1,0,21.0,27.0,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US"
43,0.0,3,male,0,0,7.8958,,"Vetren, Bulgaria",Cherbourg,"Madison, Wisconsin, US"
46,0.0,3,male,0,0,8.05,29.0,"Pontardawe, West Glamorgan, Wales",Southampton,New York City
47,0.0,3,male,1,0,15.5,20.0,"Ballymahon, Longford, Ireland",Queenstown,New York City
49,0.0,3,male,2,0,21.6792,16.0,"Hardîne, Lebanon",Cherbourg,"Wilkes-Barre, Pennsylvania, US"
50,0.0,3,female,1,0,17.8,18.0,"Altdorf, Uri, Switzerland",Southampton,"New Glarus, Wisconsin, US"
51,0.0,3,male,4,1,39.6875,7.0,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US"
52,0.0,3,male,0,0,7.8,21.0,"Newton Abbot, Devon, England",Southampton,"Buffalo, New York, US"
