PassengerId,Survived,Passenger Class,Sex,Siblings,Parent/Child,Fare,Age,Hometown,Boarded,Destination
2,1.0,1,female,1,0,71.2833,35.0,"New York, New York, US",Cherbourg,"New York, New York, US"
3,1.0,3,female,0,0,7.925,26.0,"Jyväskylä, Finland",Southampton,New York City
4,1.0,1,female,1,0,53.1,35.0,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US"
9,1.0,3,female,0,2,11.1333,26.0,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US"
10,1.0,2,female,1,0,30.0708,14.0,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,"Cleveland, Ohio, US"
11,1.0,3,female,1,1,16.7,4.0,"Motala, Östergötland, Sweden",Southampton,"San Francisco, US"
12,1.0,1,female,0,0,26.55,61.0,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US"
16,1.0,2,female,0,0,16.0,56.0,"Lucknow, British India, UK[note 3]",Southampton,"Rapid City, South Dakota, US"
18,1.0,2,male,0,0,13.0,23.0,"Harrow, London, England",Southampton,"Chicago, Illinois, US"
20,1.0,3,female,0,0,7.225,22.0,"Tebnine, Lebanon",Cherbourg,"Michigan City, Indiana, US"
22,1.0,2,male,0,0,13.0,34.0,"London, England, UK",Southampton,"Toronto, Ontario, Canada"
23,1.0,3,female,0,0,8.0292,16.0,"Massbrook, Mayo, Ireland",Queenstown,"Chicago, Illinois, US"
24,1.0,1,male,0,0,35.5,28.0,"New Britain, Connecticut, US",Southampton,"New Britain, Connecticut, US"
26,1.0,3,female,1,5,31.3875,38.0,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US"
29,1.0,3,female,0,0,7.8792,25.0,"Limerick, Limerick, Ireland",Queenstown,New York City
32,1.0,1,female,1,0,146.5208,45.0,"New York, New York, US",Cherbourg,"New York, New York, US"
33,1.0,3,female,0,0,7.75,19.0,"Killaloe, Clare, Ireland",Queenstown,"Washington, DC, US"
37,1.0,3,male,0,0,7.2292,20.0,"Tripoli, Lebanon",Cherbourg,"Philadelphia, Pennsylvania, US"
40,1.0,3,female,1,0,11.2417,14.0,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US"
44,1.0,2,female,1,2,41.5792,3.0,"Paris, France",Cherbourg,"Cap-Haïtien, Haiti"
45,1.0,3,female,0,0,7.8792,19.0,"Kilmacowen, Sligo, Ireland",Queenstown,New York City
