PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Age_wiki,Hometown,Boarded,Destination
1,0.0,3,male,1,0,7.25,22.0,"Bridgerule, Devon, England",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada"
2,1.0,1,female,1,0,71.2833,35.0,"New York, New York, US",Cherbourg,"New York, New York, US"
3,1.0,3,female,0,0,7.925,26.0,"Jyväskylä, Finland",Southampton,New York City
4,1.0,1,female,1,0,53.1,35.0,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US"
5,0.0,3,male,0,0,8.05,35.0,"Birmingham, West Midlands, England",Southampton,New York City
6,0.0,3,male,0,0,8.4583,22.0,"Cork, Ireland",Queenstown,New York City
7,0.0,1,male,0,0,51.8625,54.0,"Dorchester, Massachusetts, US",Southampton,"Dorchester, Massachusetts, US"
8,0.0,3,male,3,1,21.075,2.0,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
9,1.0,3,female,0,2,11.1333,26.0,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US"
10,1.0,2,female,1,0,30.0708,14.0,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,"Cleveland, Ohio, US"
11,1.0,3,female,1,1,16.7,4.0,"Motala, Östergötland, Sweden",Southampton,"San Francisco, US"
12,1.0,1,female,0,0,26.55,61.0,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US"
13,0.0,3,male,0,0,8.05,19.0,"St Austell, Cornwall, England",Southampton,New York City
14,0.0,3,male,1,5,31.275,39.0,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada"
15,0.0,3,female,0,0,7.8542,14.0,"Salmunds, Gotland, Sweden",Southampton,"Los Angeles, US"
16,1.0,2,female,0,0,16.0,56.0,"Lucknow, British India, UK[note 3]",Southampton,"Rapid City, South Dakota, US"
17,0.0,3,male,4,1,29.125,2.0,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US"
18,1.0,2,male,0,0,13.0,23.0,"Harrow, London, England",Southampton,"Chicago, Illinois, US"
19,0.0,3,female,1,0,18.0,31.0,"Pittem, Belgium",Southampton,"Fremont, Ohio, US"
20,1.0,3,female,0,0,7.225,22.0,"Tebnine, Lebanon",Cherbourg,"Michigan City, Indiana, US"
21,0.0,2,male,0,0,26.0,35.0,"Liverpool, Merseyside, England, UK",Southampton,"Montreal, Quebec, Canada"
22,1.0,2,male,0,0,13.0,34.0,"London, England, UK",Southampton,"Toronto, Ontario, Canada"
23,1.0,3,female,0,0,8.0292,16.0,"Massbrook, Mayo, Ireland",Queenstown,"Chicago, Illinois, US"
24,1.0,1,male,0,0,35.5,28.0,"New Britain, Connecticut, US",Southampton,"New Britain, Connecticut, US"
25,0.0,3,female,3,1,21.075,8.0,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US"
26,1.0,3,female,1,5,31.3875,38.0,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US"
27,0.0,3,male,0,0,7.225,25.0,"Hadath, Lebanon",Cherbourg,New York City
28,0.0,1,male,3,2,263.0,19.0,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada"
29,1.0,3,female,0,0,7.8792,25.0,"Limerick, Limerick, Ireland",Queenstown,New York City
30,0.0,3,male,0,0,7.8958,23.0,"Unknown, Bulgaria",Southampton,"Chicago, Illinois, US"
31,0.0,1,male,0,0,27.7208,40.0,"Mexico City, Mexico",Cherbourg,"Mexico City, Mexico"
32,1.0,1,female,1,0,146.5208,45.0,"New York, New York, US",Cherbourg,"New York, New York, US"
33,1.0,3,female,0,0,7.75,19.0,"Killaloe, Clare, Ireland",Queenstown,"Washington, DC, US"
34,0.0,2,male,0,0,10.5,66.0,"Guernsey, Channel Islands",Southampton,"Edgewood, Rhode Island, US"
35,0.0,1,male,1,0,82.1708,28.0,"New York, New York, US",Cherbourg,"New York, New York, US"
36,0.0,1,male,1,0,52.0,42.0,"New York, New York, US",Southampton,"New York, New York, US"
37,1.0,3,male,0,0,7.2292,20.0,"Tripoli, Lebanon",Cherbourg,"Philadelphia, Pennsylvania, US"
38,0.0,3,male,0,0,8.05,21.0,"Penwithick, Cornwall, England",Southampton,New York City
39,0.0,3,female,2,0,18.0,18.0,"Zwevezele, Belgium",Southampton,"Fremont, Ohio, US"
40,1.0,3,female,1,0,11.2417,14.0,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US"
41,0.0,3,female,1,0,9.475,40.0,"Göteborg, Västergötland, Sweden",Southampton,"Akeley, Minnesota, US"
42,0.0,2,female,1,0,21.0,27.0,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US"
43,0.0,3,male,0,0,7.8958,,"Vetren, Bulgaria",Cherbourg,"Madison, Wisconsin, US"
44,1.0,2,female,1,2,41.5792,3.0,"Paris, France",Cherbourg,"Cap-Haïtien, Haiti"
45,1.0,3,female,0,0,7.8792,19.0,"Kilmacowen, Sligo, Ireland",Queenstown,New York City
46,0.0,3,male,0,0,8.05,29.0,"Pontardawe, West Glamorgan, Wales",Southampton,New York City
